nr,spec.nr.mn,spec.nr.sd,Taxon,linetype
10,60.5,3.171049598,Genera,solid
20,67.5,3.922867432,Genera,solid
30,74.8,4.07703596,Genera,solid
40,78.9,4.383048153,Genera,solid
50,80.1,2.884826203,Genera,solid
75,88.9,4.840798832,Genera,solid
100,91.6,5.015531433,Genera,solid
150,99.2,4.685675571,Genera,solid
200,102.9,3.63470922,Genera,solid
300,112.8,4.848825746,Genera,solid
400,119.4,4.647580015,Genera,solid
500,126.3,4.967673276,Genera,solid
750,133.6,4.115013163,Genera,solid
1000,141.3,3.653004851,Genera,solid
1500,151.3,4.498147767,Genera,solid
2000,160.4,5.103375789,Genera,solid
2500,165.1,4.332051092,Genera,solid
3000,168.3,2.983286778,Genera,solid
3500,173.9,4.483302354,Genera,solid
4000,179.1,5.237683967,Genera,solid
4500,180.8,1.988857852,Genera,solid
5000,185.6,4.168666187,Genera,solid
5500,188.2,3.359894178,Genera,solid
6000,189.1,2.846049894,Genera,solid
6500,191.2,3.359894178,Genera,solid
7000,195.4,3.238655414,Genera,solid
7500,197.8,1.932183566,Genera,solid
8000,199.3,1.059349905,Genera,solid
10,133.9,3.754996671,Species,solid
20,162.2,10.20675158,Species,solid
30,177.1,5.989806155,Species,solid
40,188.4,7.260241808,Species,solid
50,199.7,7.379400759,Species,solid
75,217.5,6.654154926,Species,solid
100,235.9,9.596874491,Species,solid
150,251,9.128709292,Species,solid
200,270.5,12.78236633,Species,solid
300,299.3,7.703534542,Species,solid
400,317,12.56980509,Species,solid
500,331,10.66666667,Species,solid
750,367.6,14.5235441,Species,solid
1000,385.1,10.46103883,Species,solid
1500,418.1,10.6505086,Species,solid
2000,441.2,10.19585973,Species,solid
2500,465.6,7.411702458,Species,solid
3000,480.9,11.79877583,Species,solid
3500,495.4,9.822875795,Species,solid
4000,513.7,11.5571046,Species,solid
4500,524.2,7.612854626,Species,solid
5000,537,7.438637868,Species,solid
5500,544.2,7.800284895,Species,solid
6000,552.8,4.341018826,Species,solid
6500,561.3,6.961002482,Species,solid
7000,573.2,2.97396107,Species,solid
7500,580.4,4.550946178,Species,solid
8000,586.5,1.509230856,Species,solid
10,29.9,1.791957341,Families,solid
20,33.1,1.791957341,Families,solid
30,35,2.260776661,Families,solid
40,36.1,2.378141198,Families,solid
50,37.5,2.273030283,Families,solid
75,40.8,2.529822128,Families,solid
100,42.9,2.131770261,Families,solid
150,44.9,3.142893218,Families,solid
200,50.6,3.83550663,Families,solid
300,53.1,2.685351208,Families,solid
400,55,2.449489743,Families,solid
500,56.2,4.104198392,Families,solid
750,63.1,1.523883927,Families,solid
1000,65.1,2.685351208,Families,solid
1500,68.7,1.82878223,Families,solid
2000,70.3,2.869378562,Families,solid
2500,73.8,1.87379591,Families,solid
3000,76.4,2.118699811,Families,solid
3500,78.3,1.702938637,Families,solid
4000,78.5,1.900292375,Families,solid
4500,82.4,2.366431913,Families,solid
5000,81.5,2.121320344,Families,solid
5500,82.6,1.264911064,Families,solid
6000,84.8,1.549193338,Families,solid
6500,85.5,1.779513042,Families,solid
7000,87,2.160246899,Families,solid
7500,88.4,1.0749677,Families,solid
8000,88.4,1.264911064,Families,solid
10,346.4,9.359487165,Pathways,dashed
20,368.5,17.45629463,Pathways,dashed
30,376,15.16575089,Pathways,dashed
40,384,24.63511496,Pathways,dashed
50,394.1,15.90562444,Pathways,dashed
75,402.8,21.08606702,Pathways,dashed
100,420.1,15.51665772,Pathways,dashed
150,428.3,16.71360058,Pathways,dashed
200,444.3,19.10817161,Pathways,dashed
300,455.7,8.769264507,Pathways,dashed
400,471,15.011107,Pathways,dashed
500,467.1,9.596874491,Pathways,dashed
750,493.5,12.86036115,Pathways,dashed
1000,502,11.43095213,Pathways,dashed
1500,517.7,10.71914176,Pathways,dashed
2000,524.5,6.603870919,Pathways,dashed
2500,532.1,6.314885413,Pathways,dashed
3000,539.7,6.799509786,Pathways,dashed
3500,546.8,4.541169698,Pathways,dashed
4000,544.8,4.341018826,Pathways,dashed
4500,550.5,3.308238874,Pathways,dashed
5000,553.5,6.240548409,Pathways,dashed
5500,555.3,3.917198545,Pathways,dashed
6000,557.7,2.983286778,Pathways,dashed
6500,560.1,2.183269719,Pathways,dashed
7000,559.9,2.806737925,Pathways,dashed
7500,562.1,1.663329993,Pathways,dashed
8000,563.6,0.966091783,Pathways,dashed
10,44.9,3.63470922,VFs,dashed
20,74.2,6.196773354,VFs,dashed
30,73.3,6.617317348,VFs,dashed
40,80.8,6.494442068,VFs,dashed
50,89.1,7.50481327,VFs,dashed
75,100.5,8.249579114,VFs,dashed
100,109.8,4.917090377,VFs,dashed
150,124.1,6.773313648,VFs,dashed
200,130.2,6.795423296,VFs,dashed
300,148.9,4.332051092,VFs,dashed
400,154.7,5.907622195,VFs,dashed
500,159.8,5.159672686,VFs,dashed
750,175.3,4.98998998,VFs,dashed
1000,178.2,2.573367875,VFs,dashed
1500,185.5,2.915475947,VFs,dashed
2000,187.7,2.057506582,VFs,dashed
2500,189.3,0.674948558,VFs,dashed
3000,189.8,0.421637021,VFs,dashed
3500,189.9,0.316227766,VFs,dashed
4000,189.9,0.316227766,VFs,dashed
4500,190,0,VFs,dashed
5000,190,0,VFs,dashed
5500,189.9,0.316227766,VFs,dashed
6000,190,0,VFs,dashed
6500,190,0,VFs,dashed
7000,190,0,VFs,dashed
7500,190,0,VFs,dashed
8000,190,0,VFs,dashed
10,105.9,28.16794869,CARDs,dashed
20,130.4,12.37560324,CARDs,dashed
30,144.2,20.29668829,CARDs,dashed
40,151.9,14.74562082,CARDs,dashed
50,168.9,16.04472914,CARDs,dashed
75,182.5,24.45971745,CARDs,dashed
100,196.4,26.77146076,CARDs,dashed
150,212.9,18.16865433,CARDs,dashed
200,228.2,13.17236164,CARDs,dashed
300,252.3,16.40494505,CARDs,dashed
400,262.6,9.777525249,CARDs,dashed
500,274.5,13.1085214,CARDs,dashed
750,288.5,3.308238874,CARDs,dashed
1000,292.5,4.249182928,CARDs,dashed
1500,298.4,2.221110833,CARDs,dashed
2000,301.4,1.264911064,CARDs,dashed
2500,302,1.054092553,CARDs,dashed
3000,302.8,0.421637021,CARDs,dashed
3500,302.9,0.316227766,CARDs,dashed
4000,303,0,CARDs,dashed
4500,303,0,CARDs,dashed
5000,303,0,CARDs,dashed
5500,303,0,CARDs,dashed
6000,303,0,CARDs,dashed
6500,303,0,CARDs,dashed
7000,303,0,CARDs,dashed
7500,303,0,CARDs,dashed
8000,303,0,CARDs,dashed
