PCo1,PCo2,P.copri
0.166136409,-0.104151529,0
-0.647262424,-0.135365526,80.79987
-0.356857255,0.136128127,33.04922
-0.678090221,-0.144854087,93.95942
0.084734692,-0.167770052,0.01466
0.043394888,0.115729625,0.33408
0.04786998,-0.053868962,0.0035
-0.290335385,0.006219286,26.48888
-0.270922792,-0.083104239,32.29999
0.069156455,0.108675428,0
0.163488564,-0.001765349,0.04383
0.100672465,-0.038082003,0.04892
-0.055384606,0.327781438,2.71758
0.094859824,0.059896567,0
0.070394022,0.191070108,0
0.170160761,-0.086322943,0.00387
0.158001014,-0.020193033,0.02689
0.103113048,-0.273408642,0.01996
0.039925168,0.22995403,0.01027
-0.000310717,0.078520797,4.19383
0.035154985,0.221373157,0
0.043004473,-0.108153246,3.11927
-0.14661911,-0.07563811,21.1018
0.091737213,-0.050821452,0
-0.064756305,0.063713295,0
0.079326578,-0.07166899,0
0.094359705,-0.116835363,0.02987
0.13998987,-0.222224448,0.09267
-0.004577902,0.330040608,2.04614
0.112192535,-0.078474651,0
0.072701087,-0.135865582,0
-0.07017389,0.191655952,0.07144
0.007752762,0.083314799,4.01749
0.15388088,-0.089123938,0
0.05872252,0.11295018,0.10824
0.061670028,-0.091116457,0.05839
0.144083744,-0.112295198,0
0.1403557,-0.185934734,0
0.05676236,-0.051117615,0.0688
0.142921092,-0.062329824,0.82858
0.069770427,-0.051777138,0.02577
0.092223576,-0.085444708,0
0.113173097,0.217600185,0
0.167413761,-0.060917324,0.02953
0.057215648,0.010595074,0.00185
0.163163357,-0.196203382,0.05435
0.080721913,-0.049755778,0.04179
0.104283841,0.01457263,0.06103
0.095139347,-0.141570173,0
0.088322182,-0.043705319,0
0.132940122,0.092365335,0.02584
0.137126881,-0.038328914,0.00535
0.036132438,-0.094915663,0.00436
0.090423096,0.153668848,0.01383
0.010634232,0.112980584,2.8881
0.155092301,0.013404983,0.01187
0.073222081,0.071341922,0.01391
0.073700432,-0.225255795,0
0.03552422,0.23478891,0
-0.018869793,-0.039844526,0.00745
0.070995851,0.035040407,0
0.043358639,-0.043293816,0
-0.431093411,-0.066712735,47.05904
0.062147711,0.132656908,0.01074
