BC_Spec,BC_PWY,BC_VF,BC_CARD,RELATIONSHIP.0
0.50185982,0.152180202,0.800936769,0.75401975,RND.PAIR
0.601787788,0.119941578,0.90986675,0.674517966,RND.PAIR
0.5265427,0.145245002,0.957081727,0.6196463,1stDEG.SEP
0.550424926,0.119581086,0.535582765,0.788358331,RND.PAIR
0.468858704,0.154268114,1,0.623293429,1stDEG.SEP
0.822002825,0.399457542,0.840881737,0.927636814,1stDEG.COH
0.539817128,0.170620325,0.856472045,0.79248339,1stDEG.SEP
0.768398985,0.374306072,0.97301565,0.991297936,RND.PAIR
0.675096017,0.136819304,0.976626296,0.5831981,1stDEG.SEP
0.598324733,0.250240331,0.956917583,0.282418607,1stDEG.SEP
0.535906149,0.14993243,0.813485105,0.760512596,1stDEG.COH
0.627577088,0.127930502,0.879735748,0.590537547,1stDEG.COH
0.640839126,0.192224449,0.960192278,0.674701233,1stDEG.SEP
0.636264744,0.181060084,0.738719635,0.649931562,RND.PAIR
0.372344158,0.088930139,0.568711524,0.6562688,1stDEG.SEP
0.474562195,0.12905308,0.885291832,0.379947314,1stDEG.SEP
0.766051702,0.200096852,0.788255509,0.684554048,RND.PAIR
0.488086586,0.166296266,0.756337753,0.281117393,RND.PAIR
0.540056003,0.198798362,0.997874617,0.889688527,RND.PAIR
0.68110744,0.313466232,1,0.85233034,1stDEG.SEP
0.512356371,0.196372629,0.778207976,0.359229273,1stDEG.SEP
0.97231378,0.443852853,0.967033389,0.98832301,RND.PAIR
0.686438494,0.205175115,0.970656171,0.770396525,1stDEG.SEP
0.575641576,0.202013516,0.925228887,0.456119156,1stDEG.SEP
0.537240818,0.136973456,0.62782072,0.221412834,1stDEG.COH
0.819126256,0.18231637,0.901909022,0.518562556,1stDEG.COH
0.386675006,0.12443044,0.378121226,0.576006694,1stDEG.COH
0.670929493,0.355287736,0.968548035,0.928603822,RND.PAIR
0.681617197,0.219928549,1,0.730870963,RND.PAIR
0.596217968,0.158183317,0.898209952,0.587692508,RND.PAIR
0.781276265,0.418770351,0.648403462,0.977196935,RND.PAIR
0.574511022,0.15344255,0.244024094,0.49984643,1stDEG.SEP
0.850150606,0.235610621,1,0.524182401,1stDEG.SEP
0.487321383,0.129958108,1,0.560919674,1stDEG.SEP
0.619332807,0.225919719,1,0.385303183,RND.PAIR
0.716445808,0.185396549,0.605527605,0.758778231,RND.PAIR
0.823251112,0.283779604,0.998282453,0.844629059,RND.PAIR
0.776393552,0.32594035,0.668176202,0.790487334,1stDEG.SEP
0.711419125,0.243647902,0.405656109,0.715935355,1stDEG.SEP
0.336913173,0.097975411,0.763913316,0.378050222,1stDEG.COH
0.775172298,0.16475368,0.998647479,0.807251181,1stDEG.SEP
0.701625238,0.170448988,0.829096414,0.519728256,RND.PAIR
0.581001603,0.202465046,0.357285621,0.472159091,1stDEG.SEP
0.643637886,0.169203942,0.995667653,0.448906187,1stDEG.SEP
0.410328317,0.367270141,0.369150623,0.962028518,RND.PAIR
