Panel,Group1,Group2,pValue,FDR,V1zeros,V1nonZeros,V1mean,V1sd,V1median,V2zeros,V2nonZeros,V2mean,V2sd,V2median,V1minusV2
c,RND.PAIR,PARTNERS,2.96E-40,1.42E-38,0,2000,0.655844689,0.132973018,0.651824887,0,1758,0.591738633,0.146129183,0.588229829,0.064106057
c,RND.PAIR,PAR_CH,7.45E-17,3.28E-15,0,2000,0.655844689,0.132973018,0.651824887,0,285,0.574944014,0.152530391,0.571936456,0.080900675
c,RND.PAIR,SIBL,4.90E-27,2.25E-25,0,2000,0.655844689,0.132973018,0.651824887,0,144,0.508987283,0.151655188,0.491570591,0.146857406
c,PARTNERS,PAR_CH,0.068049879,1,0,1758,0.591738633,0.146129183,0.588229829,0,285,0.574944014,0.152530391,0.571936456,0.016794618
c,PARTNERS,SIBL,2.00E-10,7.59E-09,0,1758,0.591738633,0.146129183,0.588229829,0,144,0.508987283,0.151655188,0.491570591,0.082751349
c,PAR_CH,SIBL,3.74E-05,0.001123485,0,285,0.574944014,0.152530391,0.571936456,0,144,0.508987283,0.151655188,0.491570591,0.065956731
d,RND.PAIR,PAR_CH,0.053617471,0.965114473,0,2000,0.655844689,0.132973018,0.651824887,0,301,0.637830863,0.135195374,0.641851563,0.018013826
d,RND.PAIR,SIBL,0.043451888,0.825585875,0,2000,0.655844689,0.132973018,0.651824887,0,301,0.637583563,0.140122718,0.637820318,0.018261126
d,PAR_CH,SIBL,0.90858486,1,0,301,0.637830863,0.135195374,0.641851563,0,301,0.637583563,0.140122718,0.637820318,0.0002473
e,RND.PAIR,1stDEG.SEP,0.008635482,0.189980606,0,2000,0.655844689,0.132973018,0.651824887,0,602,0.637707213,0.137566555,0.639003029,0.018137476
e,RND.PAIR,1stDEG.COH,1.33E-35,6.24E-34,0,2000,0.655844689,0.132973018,0.651824887,0,429,0.552804692,0.155224248,0.539862912,0.103039997
e,1stDEG.SEP,1stDEG.COH,1.82E-18,8.20E-17,0,602,0.637707213,0.137566555,0.639003029,0,429,0.552804692,0.155224248,0.539862912,0.084902521
