,s__Bifidobacterium_adolescentis,s__Bifidobacterium_bifidum,s__Bifidobacterium_dentium,s__Bifidobacterium_longum,s__Bacteroides_cellulosilyticus,s__Bacteroides_clarus,s__Bacteroides_finegoldii,s__Bacteroides_fragilis,s__Bacteroides_plebeius,s__Bacteroides_salyersiae,s__Prevotella_copri,s__Lactobacillus_delbrueckii,s__Streptococcus_salivarius,s__Streptococcus_thermophilus,s__Clostridium_asparagiforme,s__Clostridium_bolteae,s__Clostridium_leptum,s__Pseudoflavonifractor_capillosus,s__Eubacterium_eligens,s__Ruminococcus_gnavus,s__Ruminococcus_torques,s__Butyrivibrio_crossotus,s__Dorea_formicigenerans,s__Lachnospiraceae_bacterium_5_1_63FAA,s__Lachnospiraceae_bacterium_8_1_57FAA,s__Roseburia_hominis,s__Oscillibacter_unclassified,s__Anaerotruncus_colihominis,s__Faecalibacterium_prausnitzii,s__Ruminococcaceae_bacterium_D16,s__Ruminococcus_lactaris,s__Subdoligranulum_unclassified,s__Dialister_invisus,s__Mitsuokella_unclassified,s__Veillonella_unclassified,s__Oxalobacter_formigenes,s__Bilophila_wadsworthia,s__Haemophilus_parainfluenzae,s__Flavonifractor_plautii,s__Desulfovibrio_piger
Glycemic Load,6.524763175,5.732574608,2.166707296,6.241647106,-5.08422238,-5.180747915,-3.741074629,-2.001769006,0,-4.432786563,2.408632621,2.382358507,2.922695545,0,-5.322337282,-4.940454882,0,-2.871787806,-3.042656405,0,-4.957566264,2.368819008,-4.663491034,-3.484476728,-2.979445307,-3.869432603,0,-2.354078632,2.057591452,-4.259968492,-3.850192993,0,5.964844178,2.06780038,0,-2.261910818,-3.206869163,3.589628954,-2.376643291,0
Total Kcal,3.640862426,2.517129186,0,3.086434606,-3.437059519,-3.64468873,0,-2.27311722,2.05540915,-2.882265709,3.224977353,0,0,0,-5.336041843,-4.421135045,-2.816262415,0,0,0,-3.243347379,3.051188977,-2.97413903,-3.003817978,-2.107241519,-3.472043253,-2.3097716,0,2.331884179,-2.301151438,0,0,3.393256422,1.994493002,0,0,-3.012464354,3.112248965,-2.349244824,0
Alchohol Intake,-3.679176365,-5.929470191,-3.780395998,-3.327197367,0,4.613921573,5.482714656,0,2.790165021,3.762140481,0,0,-4.718162908,0,0,0,-3.937091466,2.462134077,0,0,2.984767532,0,3.770443534,0,0,0,2.499215634,0,0,3.731945806,6.455743242,0,-6.162332724,-2.618254603,0,0,0,-3.802911297,0,3.834597311
Carb Intake,5.523038947,5.93028471,3.486165304,6.506189071,-2.991608124,-4.004482245,-5.906883521,0,-4.213503678,-3.575914587,0,2.39166625,3.306889066,3.40099875,0,0,2.624644649,-3.536967627,0,0,-4.224175218,0,-3.596013969,0,-2.067718059,0,0,-2.070471484,0,-4.434334393,-4.086723791,2.876050875,5.901434521,0,2.22111097,0,0,3.287901484,0,-4.377540135
Fat Intake,0,0,0,-3.77183784,0,0,2.365312148,0,3.505641934,0,0,-3.929920839,0,-3.669956138,0,0,0,0,-2.112353516,2.56470808,2.778494219,0,0,-3.339666339,0,-2.357300714,0,0,0,0,0,0,-1.986158632,2.254016618,-2.130669383,0,0,-2.092168648,0,3.148047719
Protein Animal,-3.317299427,-4.693307738,0,-4.365105987,0,2.893420562,3.116366615,0,0,0,0,3.44312841,0,4.197163044,2.713180072,1.967342048,0,3.104754531,3.105692067,0,3.586324605,0,3.459065224,3.263761375,3.755132921,0,0,0,0,4.074749299,2.801126798,0,-3.815340012,0,0,-2.209842708,0,0,0,0
Protein Plant,2.520264153,0,-3.138944102,3.267930195,0,0,0,0,0,0,0,0,0,0,-3.404734798,-4.227000832,-3.844899667,-4.841197653,3.64728222,-4.124073975,-4.719652451,3.135893978,0,0,-2.944184965,4.692671765,-6.152980426,-2.974869404,2.778363353,-3.742109652,0,3.355384505,3.453837062,0,0,3.860628935,-2.291269023,3.244288375,-4.473063215,-2.649851593
Probiotics,0,0,0,0,0,0,0,2.568268189,0,0,0,0,0,0,0,0,-2.005889694,0,0,0,0,0,0,0,2.102973537,0,0,0,0,0,0,0,-2.229875565,0,0,0,0,0,0,0
Lifelines Diet Score,0,-2.70456202,-2.908770714,0,0,0,0,-2.118756931,0,0,0,3.165686056,0,3.167611388,-3.612485458,-3.908922608,-3.647338815,-3.42806118,10.1880424,-5.637986411,-3.282621105,4.873716016,0,3.854682802,-3.942566802,8.318842065,-8.179051421,-3.857962814,5.670835085,-2.226882681,3.710405046,5.090404518,0,0,3.900460654,2.585219483,0,6.740476843,-6.826403707,0
Pregnant Mother Smoking,0,0,0,0,0,0,0,0,2.404777094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.147350226,0,0
