,s__Bifidobacterium_adolescentis,s__Bifidobacterium_bifidum,s__Bifidobacterium_dentium,s__Bifidobacterium_longum,s__Bacteroides_cellulosilyticus,s__Bacteroides_clarus,s__Bacteroides_finegoldii,s__Bacteroides_fragilis,s__Bacteroides_plebeius,s__Bacteroides_salyersiae,s__Prevotella_copri,s__Lactobacillus_delbrueckii,s__Streptococcus_salivarius,s__Streptococcus_thermophilus,s__Clostridium_asparagiforme,s__Clostridium_bolteae,s__Clostridium_leptum,s__Pseudoflavonifractor_capillosus,s__Eubacterium_eligens,s__Ruminococcus_gnavus,s__Ruminococcus_torques,s__Butyrivibrio_crossotus,s__Dorea_formicigenerans,s__Lachnospiraceae_bacterium_5_1_63FAA,s__Lachnospiraceae_bacterium_8_1_57FAA,s__Roseburia_hominis,s__Oscillibacter_unclassified,s__Anaerotruncus_colihominis,s__Faecalibacterium_prausnitzii,s__Ruminococcaceae_bacterium_D16,s__Ruminococcus_lactaris,s__Subdoligranulum_unclassified,s__Dialister_invisus,s__Mitsuokella_unclassified,s__Veillonella_unclassified,s__Oxalobacter_formigenes,s__Bilophila_wadsworthia,s__Haemophilus_parainfluenzae,s__Flavonifractor_plautii,s__Desulfovibrio_piger
Glycemic Load,1.99E-08,1.65E-06,0.197282111,1.08E-07,3.74E-05,2.43E-05,0.00584208,0.251087463,1,0.000570602,0.134969009,0.140972725,0.04899512,1,1.27E-05,7.00E-05,1,0.055168184,0.037251803,1,6.51E-05,0.144009881,0.0002271,0.012308894,0.043101058,0.003948037,1,0.147561518,0.231471535,0.00106557,0.004150745,1,4.83E-07,0.228174973,1,0.170671197,0.025246912,0.009207624,0.142377686,1
Total Kcal,0.007858275,0.11162027,1,0.033839736,0.013877273,0.007781282,1,0.167783962,0.232356834,0.053934151,0.024144093,1,1,1,1.19E-05,0.000594614,0.062299861,1,1,1,0.023088157,0.036501556,0.043638013,0.040796209,0.215589339,0.012722497,0.158703593,1,0.15313588,0.160427381,1,1,0.015635881,0.253378465,1,1,0.039922519,0.031734004,0.148765083,1
Alchohol Intake,0.006993103,5.88E-07,0.00515801,0.018693003,1,0.000277628,5.96E-06,1,0.065584405,0.005467287,1,1,0.000182154,1,1,1,0.003176846,0.123153206,1,1,0.042758144,1,0.005312989,1,1,1,0.11515357,1,1,0.00601867,3.00E-08,1,1.69E-07,0.092476406,1,1,1,0.004798018,1,0.004362713
Carb Intake,4.88E-06,5.87E-07,0.012255552,2.20E-08,0.042103728,0.002563638,6.63E-07,1,0.001260452,0.009582408,1,0.139246044,0.019686053,0.015286903,1,1,0.091457423,0.010625756,1,1,0.001212954,1,0.009044091,1,0.228199467,1,1,0.227293112,1,0.000567545,0.001937032,0.054654754,6.81E-07,1,0.181845979,1,1,0.020589298,1,0.000691393
Fat Intake,1,1,1,0.005286097,1,1,0.144665981,1,0.011603196,1,1,0.00324552,1,0.007212882,1,1,1,1,0.214089363,0.102262235,0.067067862,1,1,0.018123082,1,0.146774198,1,1,1,1,1,1,0.255917546,0.172814346,0.208566598,1,1,0.219992305,1,0.02924248
Protein Animal,0.019132839,0.000202427,1,0.000722734,1,0.052555947,0.031438072,1,1,1,1,0.013644083,1,0.001340396,0.076359144,0.262270374,1,0.03227964,0.03223514,1,0.009300587,1,0.013093235,0.02194691,0.005596797,1,1,1,1,0.002016616,0.064264121,1,0.004604193,1,1,0.185094139,1,1,1,1
Protein Plant,0.111037871,1,0.029898219,0.021720118,1,1,1,1,1,1,1,1,1,1,0.015122693,0.001203645,0.004220331,0.000109963,0.007717322,0.001734856,0.000181121,0.030068921,1,1,0.046641497,0.000202754,1.76E-07,0.043585241,0.067067862,0.005823997,1,0.017372278,0.013273936,1,1,0.004029873,0.162978801,0.023047491,0.000487517,0.087023868
Probiotics,1,1,1,1,1,1,1,0.101534657,1,1,1,1,1,1,1,1,0.250151757,1,1,1,1,1,1,1,0.216904705,1,1,1,1,1,1,1,0.179257912,1,1,1,1,1,1,1
Lifelines Diet Score,1,0.07745967,0.050656559,1,1,1,1,0.2120381,1,1,1,0.027980979,1,0.027843951,0.008571534,0.003459761,0.007717322,0.014223892,1.00E-10,2.76E-06,0.020904861,9.48E-05,1,0.004100297,0.003126028,1.00E-10,1.00E-10,0.004061521,2.31E-06,0.180146701,0.006392008,3.63E-05,1,1,0.003562015,0.098545639,1,5.33E-09,3.33E-09,1
Pregnant Mother Smoking,1,1,1,1,1,1,1,1,0.13596801,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.203592644,1,1
Preterm Birth,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.206990668,1,1,1,1,1,1
Birth Mode,1,1,1,1,1,1,1,1,1,1,0.038217825,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Breastfed 6M+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.206766907,0.039922519,1,1,1,1,1,1,1,1,1,1,1,0.111603946,1,1,1,1,0.133405891,1,1,0.016167832,1,0.208247739
Childhood Urbanicity,0.007750739,1,1,0.013087236,1.37E-05,0.079886567,4.38E-05,0.158980206,1,9.10E-06,0.051720389,1,1,1,0.052551933,0.132882289,1,0.174346805,1,0.038269637,1,0.031096826,1,1,1,1,1,0.087472002,0.022336551,1,1,1,0.002041309,0.003972815,1,1,0.000103329,0.091951769,0.039435774,0.026301806
Childhood Parents Smoking,1,1,1,1,1,1,1,1,1,1,0.03356464,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.003478117,1,1,1,1,1,1,1,0.003957224,1,1,0.00091596,1,1
Childhood Pets,1,1,1,1,1,1,1,1,1,1,1,0.019735465,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.066436112,1,1,0.08134876,1,1,0.075871328,1,1,1,0.01878677,1,1,1
Greenspace NDVI,1,1,0.164416374,1,1,1,1,0.006119371,0.0431114,1,1,1,1,1,0.078923703,0.00329967,1,1,1,0.073341942,1,0.141020799,1,1,1,1,1,0.028754597,0.074584923,1,1,1,0.156701566,0.00200848,1,0.196930845,0.003362813,1,0.007610608,0.038525899
Pet ownership,1,1,1,1,1,1,1,0.177397192,0.001607057,1,8.08E-05,1,1,1,1,1,1,0.231016858,1,1,1,1,1,0.254366196,1,0.010929106,1,1,0.152315439,0.010104962,1,0.165351434,0.042779896,0.030203458,0.240068698,1,0.023768641,1,1,0.044996212
