,D.Cancer.NonBasal,D.Cardiomet.Arrythmia,D.Cardiomet.Cholesterol.high,D.Cardiomet.DiabetesT2,D.Cardiomet.Heartrate.complains,D.Cardiomet.Hypertension,D.Cardiomet.Thrombosis,D.GI.Discomfort.Burping,D.GI.Discomfort.Flatulence,D.GI.Discomfort.Nausea,D.GI.Discomfort.Pain,D.GI.Discomfort.Unwell,D.GI.FGID.Bloating,D.GI.Gallstones,D.GI.IBD.CD,D.GI.IBD.UC,D.GI.IBS.Any,D.GI.IBS.TypeD,D.GI.IBS.TypeM,D.GI.Stomach.Ulcer,D.Mental.Bipolar,D.Mental.Burnout,D.Mental.Depression,D.Mental.Eating.disorder,D.Neuro.Fibromyalgia,D.Neuro.Migraine,D.Other.Chronic.Cystitis,D.Other.Chronic.Inflammation.Throatnose,D.Other.Chronic.Muscle.Weakness,D.Other.Osteoarthritis,D.Other.Rheumatoid.Arthritis,D.Pulmonary.Asthma,D.Pulmonary.COPD,D.Skin.Atopic.dermatitis,General Health
s__Bifidobacterium_adolescentis,1,0.095504316,1,2.34E-05,0.050896654,1,1,0.128598299,1,0.041392821,1,0.13455307,1,1,0.057280426,1,0.011413484,0.136023378,0.004221716,1,1,0.064224433,0.070438913,0.055503742,0.001314148,1,1,1,0.187312273,0.202243921,0.11797164,4.45E-05,2.66E-05,0.091776165,0.001038425
s__Bifidobacterium_dentium,1,1,0.000272314,0.036050754,1,1,1,0.21073265,1,0.243555372,1,1,1,1,1,1,0.029033814,0.253693386,1,0.238876437,1,1,1,1,1,0.061359438,1,1,0.043864541,1,0.102631456,0.125521526,0.036983473,1,0.040425119
s__Bifidobacterium_longum,1,1,1,0.155478128,1,1,1,1,1,1,1,1,1,1,0.050761615,1,0.028213163,1,0.001712454,1,1,0.243555372,1,0.077129514,0.011974795,1,1,1,1,0.144350632,0.172725801,1,0.047639225,1,1
s__Eggerthella_lenta,1,1,1,1,1,1,1,1,1,0.057734588,1,0.230370626,1,0.019021633,1,1,1,1,1,1,0.026585591,0.020437754,0.119033862,1,1,1,1,1,1,1,1,1,1,0.088759261,3.47E-05
s__Eggerthella_unclassified,1,0.078120525,0.185376362,0.159516014,0.023499131,1,0.147227209,0.126578823,1,0.01304879,2.05E-05,0.01703677,1,0.045589311,1,0.012532978,0.003384388,0.002694612,0.089054172,1,0.186252918,0.099904558,0.059232088,1,0.004709462,0.078049499,0.147160317,0.053163396,0.01878677,0.120470024,1,0.103649436,8.74E-05,0.021574528,1.23E-09
s__Bacteroidales_bacterium_ph8,1,1,1,0.010572611,1,1,1,1,1,1,1,1,0.135743463,1,0.080872827,0.008203981,0.178068032,0.064427609,1,1,1,0.002694996,0.128598299,1,1,1,1,1,1,1,1,1,1,1,0.00110485
s__Barnesiella_intestinihominis,0.206977798,1,0.030360871,0.158824693,1,1,1,1,1,0.091951769,0.229976317,1,0.217255984,1,0.012421121,1,1,1,1,1,0.164172993,0.253903603,1,0.140240404,1,1,1,0.25796258,0.029869434,1,0.144226498,1,0.250839545,0.22028933,0.003889089
s__Paraprevotella_clara,0.053836905,1,0.000220433,0.022749835,0.176249568,1,1,1,1,1,1,0.21456891,1,1,1,0.082812778,0.054371484,1,1,1,1,1,1,1,0.225963171,1,1,0.023100427,1,0.203573982,1,0.235543321,0.126279095,0.013207067,0.053639519
s__Paraprevotella_unclassified,0.027203311,1,0.000789331,0.060424655,0.080632593,1,1,1,1,0.223503621,1,1,1,1,1,1,0.057734588,1,1,1,1,1,1,1,0.146208318,1,0.222096747,0.012801669,1,1,1,0.21261309,0.065185556,0.010019962,0.04880228
s__Prevotella_copri,1,0.031978622,0.020255887,1,0.007567567,0.035271908,1,1,0.001063598,1,1,0.164354765,1,1,0.168305144,1,0.199723813,1,1,1,1,1,1,1,1,0.117781965,1,1,1,1,1,0.053299835,0.189573682,0.189573682,0.037988508
s__Alistipes_senegalensis,0.185118397,0.005058169,0.064362749,0.036344724,2.30E-05,0.13338469,1,1,1,1,0.00249737,0.038240782,1,1,0.261603471,0.018355123,0.005346861,0.007778021,1,1,1,0.036368555,1,1,0.043530266,1,0.078767614,0.033361655,0.024082429,0.051717536,0.194392869,0.063530386,0.018195451,1,1.10E-06
s__Streptococcus_parasanguinis,1,0.013580826,1,0.002364228,0.056587993,0.148511669,1,2.23E-05,0.008321275,0.002993023,0.006946737,0.139480958,1,1,1,1,0.048543248,1,1,0.000168607,1,1,0.01103042,0.247672992,0.003402826,1,1,0.232915295,0.130631842,0.001213491,0.006677228,0.055661585,0.127382354,1,9.94E-07
s__Streptococcus_salivarius,1,0.031024807,1,1,0.222770615,1,1,0.000369778,0.028001092,0.151948352,0.169531944,1,1,1,1,1,0.227853482,1,1,5.15E-05,0.107421912,1,1,1,0.098545639,1,1,1,1,0.210215002,0.136456209,1,1,1,8.70E-05
